,Name of Dam,Year Completed,River,Location,Type,Height (m),Length (m),Volume content (103m3),Gross Storage Capacity (103m3),Reservoir Area (103m2),Effective Storage Capacity (103m3),Purpose,Designed Spillway Cap m3per sec
233,Tarandale,2007,local,Kankawali,Earthfill,48,400,,10800.00,,9810.00,,147.7
234,Kalmodi,2007,Arala,Khed,Gravity,40.6,104,139.28,42670.00,2710,42670.00,Irrigation,963.21
235,Sina Kolegaon,2007,Sina,"Osmanabad, Paranda",Earthfill,36.6,,234,150490.00,1529,89340.00,Irrigation,7689
236,Katangi,,Katanginalla,Goregaon,Earthfill,13.65,2360,464.12,11120.00,31.02,9400.00,Irrigation,845.5
237,Bham,,Tapi,Dharni,EarthfillGravity,67.5,10982,,"378,000.00",1551.6,"378,000.00",Irrigation,445
238,Sarang Kheda,,Waki,"Nashik, Sinnar",Earthfill,34.5,1081,76.2,75800.00,7203,70550.00,Irrigation,563
239,Chenna,,Chenna,Gadchiroli,Earthfill,33,740,413,14800.00,1930,14790.00,Irrigation,602
240,Madan,,local,Madan,Earthfill,26.5,1413,773,11460.00,,10560.00,Irrigation,662
241,Godavari,,Darna,"Nashik, Igatpuri",Earthfill,34.75,1028,3007,46730.00,2565,40790.00,Irrigation,662
242,Karwappa,,Karwappa,Gadchiroli,Earthfill,35,1416,991,32560.00,4454,32560.00,Irrigation,841
243,Manikpuri,,Waki,"Nandurbar, Shahada",Earthfill,42.84,888,1453,14760.00,650,13450.00,Irrigation,912
244,Lower Tapi,,Kadwa,Nashik,Earthfill,21.8,860,303.72,16460.00,3150,11470.00,Irrigation,983
245,Bhavali,,Bham,"Thane, Shahapur",Earthfill,33.97,1550,329,75050.00,4980,69760.00,Irrigation,990
246,Jamkhed,,local,Mukhed,Earthfill,16.9,1605,44,10230.00,,8150.00,Irrigation,1019
247,Nagan,,Nagan,Navapur,Earthfill,29.24,2940,1800,25150.00,3334,22760.00,Irrigation,1103
248,Talamba,,Karli,Kudal,Earthfill,57.41,2955,7343,308750.00,21350,285630.00,Irrigation  Hydroelectricity,1354.47
