,Name of Dam,Year Completed,River,Location,Type,Height (m),Length (m),Volume content (103m3),Gross Storage Capacity (103m3),Reservoir Area (103m2),Effective Storage Capacity (103m3),Purpose,Designed Spillway Cap m3per sec
121,Koradi,1979,Koradi,"Buldhana, Mehkar",Earthfill,19.31,900,1193,22500.00,6465,15120.00,Irrigation,2446
122,Kawadas (Pickup),1979,local,"Thane, Javhar",Earthfill,28.08,630,180,13700.00,5480,9970.00,Irrigation,3700
123,Mandohol,1979,Mandohol,Parner,Earthfill,27.07,739,426,11300.00,199.51,8780.00,Irrigation,11420
124,Pethwadaj,1980,local,Kandhar,Earthfill,19.5,1260,495,11600.00,2970,9040.00,Irrigation,1185
125,Haranbari,1980,Mosam,Satana,Earthfill,34,1419,2375,34780.00,5540,33020.00,Irrigation,1312
126,Kelzar,1981,Aram,Satana,Earthfill,32.5,1236,1622,17100.00,1660,16210.00,Irrigation,832.4
127,Uma,1981,Uma,Murtijapur,Earthfill,20.42,2140,434,14010.00,2600,11690.00,Irrigation,1340
128,Sonal,1981,Aran,M Pir,Earthfill,19.6,1114,698,20270.00,,16920.00,Irrigation,1368
129,Masoli,1981,Masoli,Gangakhed,Earthfill,24.84,1086,626,34080.00,6970,27390.00,Irrigation,2028
130,Goki,1981,Goki,Darwha,EarthfillGravity,23.06,1572,658,50220.00,11360,42710.00,Irrigation  Water supply,2066
131,Yelavi,1982,local,"Sangli, Jath",Earthfill,15.25,764,111,22260.00,,2180.00,Irrigation,557
132,Rangawali,1982,Rangawali,Dhule,Earthfill,25.63,1878,1289,15020.00,329,12890.00,Irrigation,1168
133,Ozarkhed,1982,Unanda,"Nashik, Dindori",Earthfill,35.3,3266,2052,67950.00,6880,60320.00,Irrigation,1610
134,Tawarja,1982,Tawarja,Latur,Earthfill,14.3,2222,361,20520.00,741,16950.00,Irrigation,1903
135,Tillari (Proj.),1982,Tillari,Sawantwadi,EarthfillGravity,73,943,9274,462170.00,16250,447290.00,Irrigation  Water supply,2465
136,Manjara,1982,Manjara,"Beed, Kalamb",Earthfill,25,4203,2213,250700.00,,173320.00,Irrigation,6000
137,Isapur,1982,Penganga,Nanded,Earthfill,57,4120.1,11216,1254000.00,,951000.00,Irrigation,10480
138,Hatnur,1982,Tapi,"Jalgaon, Bhusawal",Earthfill,25.5,2580,3850,388000.00,48160,255000.00,Irrigation,26415
139,Chandai,1983,Chandai Nalla,Varora,Earthfill,11.91,1830,181,13200.00,523,10690.00,Irrigation,842.85
140,Alandi,1983,Alandi,Nashik,Earthfill,29.3,1690,2782,29600.00,55900,27820.00,Irrigation,1002
141,Borna,1983,Borna,"Beed, Ambejogai",Earthfill,22.3,866,460,10908.00,2191,9060.00,Irrigation,1249
142,Wadaj,1983,Meena,"Pune, Junnar",EarthfillGravity,30.7,1875,1009,36000.00,467,33200.00,Irrigation,1426
143,Chargaon,1983,Chargaon,Varora,Earthfill,14.4,3065,428,21700.00,12921.9,19866.00,Irrigation,1450.5
144,Pothara,1983,Pothara,Hinganghat,Earthfill,14.21,2220,318,38400.00,13900,34720.00,Irrigation,1732
145,Burai,1983,Burai,Sakri,Earthfill,30.6,1013,168,21330.00,31440,14210.00,Irrigation,2149
146,Erai,1983,Erai,Chandrapur,EarthfillGravity,30,1620,985,226500.00,58000,193000.00,Water supply,2610
147,Bhatsa,1983,Bhatsa,"Thane, Shahapur",EarthfillGravity,88.5,959,18250,976150.00,2725,942115.00,Irrigation  Water supply,5342
148,Lower Pus,1983,Pus,Mahagaon,Earthfill,28,3346,6167,81160.00,15890,59630.00,Irrigation,5437
149,Natuwadi,1984,Tr.of Charti,Khed,Earthfill,45.25,900,22.3,28080.00,2000,27230.00,Irrigation,690.73
150,Manikdoh,1984,Kukadi,"Pune, Junnar",Gravity,51.8,930,596,308060.00,18434,283070.00,Irrigation  Hydroelectricity,1439
151,Kolar,1984,Kolar,Saoner,Earthfill,30.11,2910,1084,35380.00,6430,31320.00,Irrigation,1598.2
152,Kordi,1985,Kordi,Navapur,Earthfill,27.75,1952,923,11690.00,1677,10300.00,Irrigation,735
153,Amalocalalla,1985,Amalocalalla,Rajura,Earthfill,37.75,1607,133.4,22700.00,3703,21200.00,Irrigation,1067
154,Morna (Shirala),1985,Morna,Shirala,Earthfill,31.2,1115,793,21160.00,3203,15150.00,Irrigation,1075
155,Tillari (Main),1986,Tillari,Chandgad,Gravity,38.05,485,250,113266.00,9290,92020.00,Hydroelectricity,1028
156,Kalyan,1986,Kalyan,Jalna,Earthfill,16.49,1554,492,15360.00,533,10360.00,Irrigation,1315
157,Girija,1986,Girija,"Aurangabad, Khultabad",Earthfill,19.1,3060,70,24500.00,775,21230.00,Irrigation,1649
158,Ujani,1980,Bhima,"Solapur, Tembhurni",Earthfill,56.4,2534,,3140000.00,337000.00,1440000.00,Irrigation,15717
159,Kundlika,1986,Kundlika,"Beed, Majalgaon",Earthfill,28.45,1403,,46350.00,6850,,Irrigation,2751
160,Kanher,1986,Wenna,Satara,EarthfillGravity,50.34,1954,6308,286000.00,18.63,271680.00,Irrigation  Hydroelectricity,3203
161,Sina,1986,Sina,"Ahmadnagar, Karjat",Earthfill,28.5,1580,681.5,67950.00,12834,,Irrigation,4450
162,Dham,1986,Dham,Arvi,Earthfill,33.35,1728,2737,72460.00,7780,62510.00,Irrigation,5416.6
163,Wandri,1987,Wandri,"Thane, Palghar",Earthfill,29.6,1336,1206,36510.00,4438,34710.00,Irrigation,567
164,Raigavan,1987,local,"Beed, Kalam",Earthfill,19.74,2090,,12703.00,4920,11259.00,Irrigation,1411
165,Dhamni (Surya),1987,Surya,Dhamni,Earthfill,59,1563,1270,285310.00,16130,273350.00,Irrigation  Hydroelectricity,2696
166,Majalgaon,1987,Sindphana,"Beed, Majalgaon",Earthfill,31.19,6488,5759,453640.00,78130,311300.00,Irrigation  Hydroelectricity,14500
167,Khekaranalla,1988,KhekaraNalla,Kalmeshwar,Earthfill,24.5,330,306,26325.00,5566,23810.00,Irrigation,1343
168,Kalisarar,1988,Kalisarar,Salekasa,EarthfillGravity,25.52,830,697,30460.00,6500,27750.00,Irrigation,1402
169,Khairi,1989,Kar,"Ahmadnagar, Jamkhed",Earthfill,18.91,1210,54,15110.00,492,13743.00,Irrigation,1962
170,Totladoh,1989,Pench,Ramtek,Gravity,74.5,680,972,1241109.00,77710,1091000.00,Hydroelectricity,12072
171,Adol,1990,Adola,Borala,Earthfill,18.47,1725,479,15270.00,3141,,Irrigation,1274
172,Shahanoor,1990,Shahanoor,AnjangaonSurji,Earthfill,57.81,828,3446,47850.00,2970,46040.00,Irrigation  Water Supply,2406
173,Lower Wunna (Nand),1990,Nand,Nagpur,EarthfillGravity,16.25,2513,1833,62182.00,21642,53182.00,Irrigation,5238
174,Nagyasakya,1992,Panzan,Nandgaon,Earthfill,23.09,1440,292,15620.00,4050,11240.00,Irrigation,51.55
175,Sakol,1992,local,"Latur, Udgir",Earthfill,17.65,1425,371,12689.00,4256,10950.00,Irrigation,1178
176,Borgaon,1993,local,Yavatmal,Earthfill,20,830,1404,14040.00,288,12224.00,Irrigation,686
177,Pakadiguddam,1993,Deogad,Chandrapur,Earthfill,19,1814,1067,13307.00,2579,11800.00,Irrigation,803
178,Devarjan,1993,Devari,"Latur, Udgir",Earthfill,15.58,1715,,13410.00,4010,10670.00,Irrigation,1136
179,Upper Wardha,1993,Wardha,Amrawati,EarthfillGravity,46.2,5920,6500,786480.00,93122,614800.00,Irrigation  Hydroelectricity  Water supply,19457
180,Bokani,1994,local,"Latur, Udgir",Earthfill,17.03,1440,,13460.00,3170,8590.00,Irrigation,1258.8
181,Benitura,1994,local,"Latur, Omerga",Earthfill,13.48,1780,,12810.00,,,Irrigation,1614
182,Sakat,1994,Dudhana,"Osmanabad, Paranda",Earthfill,19.8,2775,,14430.00,4340,13440.00,Irrigation,1686
183,Tembhapuri,1994,Nagzari,Aurangabad,Earthfill,16.42,5300,809,21260.00,8495,19000.00,Irrigation,2038
